id,model_name,BLEU_score,BERTScore_F1,SBERT_Similarity,Perplexity,Word_Overlap,Length_Similarity,Char_Similarity,Quality_Score
1,Mistral_FT,3.658491000842446e-155,0.8495509028434753,0.732552707195282,4.895833333333334,0.20408163265306123,0.15625,1.0,0.18973214285714285
2,Mistral_FT,0.12513121709692082,0.8711108565330505,0.8599340915679932,4.9504950495049505,0.2549019607843137,0.14851485148514854,1.0,0.22298582799456415
3,Mistral_FT,0.23353322299690604,0.8983319997787476,0.8138766288757324,5.694444444444445,0.5161290322580645,0.29166666666666663,0.875,0.4487903225806451
4,Mistral_FT,0.059977555496963916,0.845116138458252,0.8126243948936462,4.25531914893617,0.16049382716049382,0.12765957446808507,1.0,0.1506435513527712
5,Mistral_FT,2.203347157833182e-155,0.8135557770729065,0.7528205513954163,4.855072463768116,0.11267605633802817,0.10869565217391308,0.96,0.11148193508879364
6,Mistral_FT,0.1474455876595714,0.8575072288513184,0.7457724809646606,4.857142857142858,0.2222222222222222,0.2142857142857143,1.0,0.21984126984126984
7,Mistral_FT,0.028934302743978513,0.8412099480628967,0.5485724210739136,4.477611940298507,0.13513513513513514,0.13432835820895528,0.9166666666666666,0.13489310205728117
8,Mistral_FT,0.04703812390339533,0.838982343673706,0.6033489108085632,4.841269841269841,0.13846153846153847,0.2222222222222222,1.0,0.1635897435897436
9,Mistral_FT,0.025233313521857606,0.8208320736885071,0.5550047159194946,5.026737967914439,0.08602150537634409,0.07486631016042777,1.0,0.0826749468115692
10,Mistral_FT,0.04071064205193174,0.8259581923484802,0.449077844619751,5.353535353535354,0.13043478260869565,0.09595959595959591,0.9666666666666667,0.12009222661396571
11,Mistral_FT,0.0876551845177045,0.8529108166694641,0.7800630927085876,4.947368421052632,0.25,0.4052631578947369,0.8918918918918919,0.29657894736842105
12,Mistral_FT,0.07244002196008655,0.853579580783844,0.7031949758529663,4.56140350877193,0.1935483870967742,0.14035087719298245,1.0,0.17758913412563665
13,Mistral_FT,0.05754229654886445,0.8508946299552917,0.7690306901931763,5.882352941176471,0.2222222222222222,0.10457516339869277,1.0,0.18692810457516335
14,Mistral_FT,7.265233858531119e-79,0.8514606952667236,0.6850351691246033,5.783783783783783,0.1282051282051282,0.08108108108108103,0.9523809523809523,0.11406791406791404
15,Mistral_FT,2.757397826033875e-155,0.7871763110160828,0.6866558790206909,4.454545454545454,0.11475409836065574,0.1454545454545455,1.0,0.12396423248882266
16,Mistral_FT,0.15442412363831007,0.836790144443512,0.8149741888046265,2.8571428571428568,0.26666666666666666,0.5357142857142857,0.9375,0.34738095238095235
17,Mistral_FT,7.82830916853581e-232,0.8446889519691467,0.7455357313156128,4.659090909090909,0.06382978723404255,0.20454545454545459,0.8518518518518519,0.10604448742746615
18,Mistral_FT,0.022799533201064922,0.8107056021690369,0.4934837222099304,5.096774193548388,0.09210526315789473,0.16129032258064513,0.9354838709677419,0.11286078098471986
19,Mistral_FT,0.09857469621273394,0.8481231927871704,0.7525660991668701,4.461538461538462,0.19444444444444445,0.19999999999999996,0.9642857142857143,0.19611111111111107
20,Mistral_FT,8.901581400415909e-232,0.8077778220176697,0.638470470905304,4.352331606217616,0.07339449541284404,0.227979274611399,0.967741935483871,0.11976992917241053
21,Mistral_FT,0.08253355422674745,0.8517879843711853,0.6991583704948425,4.140625,0.14666666666666667,0.09375,1.0,0.13079166666666664
22,Mistral_FT,0.06660917764903398,0.8510140180587769,0.6842243671417236,4.0625,0.11842105263157894,0.09375,1.0,0.11101973684210525
23,Mistral_FT,0.0,0.8172679543495178,0.019991640001535416,0.0,0.0,0.13043478260869568,0.48148148148148145,0.0391304347826087
24,Mistral_FT,2.112835021442179e-155,0.8459532260894775,0.5893499255180359,5.080213903743315,0.07608695652173914,0.0802139037433155,1.0,0.07732504068821204
25,Mistral_FT,0.03086816227386449,0.8189330697059631,0.7244027853012085,5.419354838709678,0.15492957746478872,0.19999999999999996,0.9393939393939394,0.16845070422535208
26,Mistral_FT,0.05292271223650147,0.8349570631980896,0.8149243593215942,4.7899159663865545,0.22580645161290322,0.23529411764705888,0.9666666666666667,0.2286527514231499
27,Mistral_FT,0.07641129158693517,0.838145911693573,0.7468153238296509,3.423423423423423,0.1780821917808219,0.19819819819819817,1.0,0.1841169937060348
28,Mistral_FT,7.459322524347919e-79,0.8157739043235779,0.6287902593612671,4.2857142857142865,0.10526315789473684,0.12030075187969924,0.96,0.10977443609022555
29,Mistral_FT,0.27370589640422327,0.8970142006874084,0.87848961353302,5.576923076923077,0.391304347826087,0.34615384615384615,1.0,0.37775919732441465
30,Mistral_FT,1.954449588498838e-155,0.7921574115753174,0.3034323751926422,5.171428571428571,0.07100591715976332,0.0942857142857143,1.0,0.07798985629754861
31,Mistral_FT,0.0,0.810583233833313,0.1973935216665268,0.0,0.0,0.125,0.5652173913043478,0.0375
32,Mistral_FT,0.028851151426867488,0.808010458946228,0.46068257093429565,2.82258064516129,0.12359550561797752,0.24193548387096775,0.92,0.1590974990938746
33,Mistral_FT,2.9633875959153636e-155,0.8365201950073242,0.5604061484336853,2.7777777777777777,0.10256410256410256,0.14814814814814814,0.96,0.11623931623931623
34,Mistral_FT,8.962741219215748e-232,0.7898317575454712,0.23962149024009705,5.648535564853557,0.09615384615384616,0.19246861924686187,0.9166666666666666,0.12504827808175087
35,Mistral_FT,0.05744170474741964,0.8302140235900879,0.5939271450042725,3.278688524590164,0.15853658536585366,0.20491803278688525,1.0,0.17245101959216314
36,Mistral_FT,0.017259681570583107,0.8179022073745728,0.5269358158111572,4.093959731543624,0.06818181818181818,0.13422818791946312,0.92,0.08799572910311165
37,Mistral_FT,0.1566374917064108,0.8443170785903931,0.4790008068084717,2.4778761061946906,0.2235294117647059,0.17699115044247793,1.0,0.20956793336803747
38,Mistral_FT,9.788429383461836e-232,0.8320583701133728,0.650094747543335,2.962962962962963,0.09210526315789473,0.2407407407407407,1.0,0.1366959064327485
39,Mistral_FT,0.052338160710149385,0.8219218254089355,0.36793631315231323,3.581081081081081,0.1368421052631579,0.16891891891891897,1.0,0.14646514935988622
40,Mistral_FT,9.521279808038317e-79,0.8266380429267883,0.6604617834091187,2.569444444444444,0.14018691588785046,0.2152777777777778,1.0,0.16271417445482866
